id	nom	typeLibelle	typeCode	rangChallenges	milliardaireForbes	mediaType	mediaPeriodicite	mediaEchelle	commentaire	theme	country
1	Claude Perdriel	Personne physique	1	339					Casablanca	1	AD
2	Sophia Publications	Personne morale	2						New York	1	AE
3	Groupe Perdriel	Personne morale	2						Tokyo	1	AF
4	L’histoire	Média	3			GPE	Mensuel		Istanbul	1	AG
5	Historia	Média	3			GPE	Mensuel		Mexico	1	AI
6	Challenges	Média	3			GPE	Hebdomadaire			1	AL
7	Sciences & Avenir	Média	3			GPE	Mensuel			1	AM
8	L’Opinion	Média	3			GPE	Quotidien		Paris	1	AN
9	Prisa	Personne morale	2						Netherland	1	AO
10	Xavier Niel	Personne physique	1	16					Moscow	1	AQ
11	Matthieu Pigasse	Personne physique	1						Stalingrad	1	AR
12	Les Nouvelles Éditions indépendantes	Personne morale	2						Sochi	1	AS
13	Le Nouveau Monde	Personne morale	2						Autriche	1	AT
14	Le Monde libre	Personne morale	2						Italy	1	AU
15	Le Monde SA	Personne morale	2							1	AW
16	L’Obs	Média	3			GPE	Hebdomadaire			1	AZ
17	Prier	Média	3			GPE	Mensuel			1	BA
18	"M, le magazine du Monde"	Média	3			GPE	Hebdomadaire			1	BB
19	Le Monde	Média	3			GPE	Hebdomadaire			1	BD
20	Télérama	Média	3			GPE	Mensuel			1	BE
21	Courrier international	Média	3			GPE	Hebdomadaire			1	BF
22	Le Monde des religions	Média	3			GPE	Mensuel			1	BG
23	La Vie	Média	3			GPE	Hebdomadaire			1	BH
24	Le Monde diplomatique	Média	3			GPE	Mensuel			1	BI
25	Manière de voir	Média	3			GPE	Bimestriel			1	BJ
26	Huffingtonpost.fr	Média	3			Site			Pure player	1	BM
27	AOL	Personne morale	2							1	BN
28	Huffington Post	Personne morale	2							1	BO
30	Radio Nova	Média	3			Radio		National		1	BR
31	Les Inrockuptibles	Média	3			GPE	Hebdomadaire			1	BS
32	Vice.com	Média	3			Site			Pure player	1	BT
33	Les Amis du Monde diplomatique	Personne morale	2							1	BV
34	Association Günter-Holzmann	Personne morale	2							1	BW
35	Famille Dassault	Personne physique	1	7						1	BY
36	Groupe Dassault	Personne morale	2							1	BZ
37	Groupe Figaro	Personne morale	2							1	CA
38	Le Figaro	Média	3			GPE	Quotidien			1	CC
39	Figaro Magazine	Média	3			GPE	Hebdomadaire			1	CD
40	Le Particulier	Média	3			GPE	Mesuel			1	CF
41	La Lettre de l’Expansion	Média	3			GPE	Mensuel			1	CG
42	Bernard Arnault	Personne physique	1	1						1	CH
43	LVMH	Personne morale	2							1	CI
44	Le Parisien	Média	3			GPE	Quotidien			1	CK
45	Le Parisien Week-End	Média	3			GPE	Hebdomadaire			1	CL
46	Le Parisien économie	Média	3			GPE	Hebdomadaire			1	CM
47	Aujourd’hui en France	Média	3			GPE	Quotidien			1	CN
48	Groupe Les Échos	Personne morale	2							1	CO
49	Les Échos	Média	3			GPE	Quotidien			1	CR
50	Investir	Média	3			GPE	Hebdomadaire			1	CU
51	Investir Magazine	Média	3			GPE	Mensuel			1	CV
